measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,17,Sri Lanka,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,549.3164055610181,797.0274418003096,342.8815559308652
1,Deaths,13,Malaysia,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,302.08236812407563,398.2612302629587,137.29257890073018
1,Deaths,57,Belarus,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,389.0817238940724,616.4610440720671,213.4509082484026
1,Deaths,30,Vanuatu,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,2.1059153611643904,5.048945356051503,0.5184111480198506
1,Deaths,20,Vietnam,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,2314.2618459012538,3385.4125670786475,1097.61587799689
1,Deaths,14,Maldives,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,2.053277738139974,3.5964919312672623,1.0068962566091706
1,Deaths,24,Marshall Islands,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,0.4249699955966827,0.9118999631275561,0.12216666412664337
1,Deaths,60,Lithuania,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,41.37920645070534,57.83402350550938,21.91640604278758
1,Deaths,57,Belarus,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,1199.637211306545,1594.7307844171387,857.8268970678822
1,Deaths,24,Marshall Islands,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,2.0497161612906187,3.8643689846713185,0.7094130450099251
1,Deaths,86,Italy,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,4948.8424332237355,7859.3428010659645,2179.0430954990875
