,25-29,25-29_LB,25-20_UB,30-34,30-34_LB,30-34_UB,35-39,35-39_LB,35-39_UB,40-44,40-44_LB,40-44_UB,45-49,45-49_LB,45-49_UB,50-54,50-54_LB,50-54_UB,55-59,55-59_LB,55-59_UB,60-64,60-64_LB,60-64_UB,65-69,65-69_LB,65-69_UB,70-74,70-74_LB,70-74_UB,75-79,75-79_LB,75-79_UB,80-84,80-84_LB,80-84_UB,85-89,85-89_LB,85-89_UB,90-94,90-94_LB,90-94_UB,95+,95+_LB,95+_UB
600,"2.244
",1.922,2.608,"2.142
",1.848,2.464,"2.033
",1.78,2.343,"1.917
",1.671,2.195,"1.831
",1.624,2.079,"1.743
",1.557,1.943,"1.661
",1.5,1.837,"1.583
",1.437,1.739,"1.506
",1.384,1.639,"1.434
",1.329,1.545,"1.371
",1.287,1.462,"1.307
",1.231,1.384,"1.249
",1.191,1.309,"1.193
",1.151,1.241,"1.141
",1.108,1.174
500,"2.166
",1.852,2.523,"2.073
",1.784,2.395,"1.971
",1.726,2.279,"1.863
",1.618,2.133,"1.783
",1.581,2.031,"1.701
",1.52,1.898,"1.625
",1.465,1.8,"1.551
",1.406,1.705,"1.479
",1.358,1.608,"1.412
",1.307,1.52,"1.352
",1.269,1.442,"1.292
",1.216,1.368,"1.237
",1.179,1.297,"1.184
",1.142,1.232,"1.134
",1.101,1.168
400,"2.076
",1.77,2.427,"1.993
",1.708,2.317,"1.901
",1.663,2.201,"1.8
",1.559,2.069,"1.727
",1.53,1.977,"1.652
",1.475,1.843,"1.582
",1.425,1.755,"1.515
",1.371,1.665,"1.448
",1.329,1.576,"1.386
",1.282,1.496,"1.331
",1.249,1.419,"1.274
",1.199,1.351,"1.223
",1.165,1.282,"1.174
",1.131,1.222,"1.127
",1.094,1.161
300,"1.971
",1.678,2.305,"1.898
",1.622,2.217,"1.816
",1.585,2.11,"1.725
",1.492,1.981,"1.662
",1.469,1.903,"1.594
",1.42,1.782,"1.532
",1.38,1.703,"1.471
",1.332,1.618,"1.41
",1.295,1.535,"1.354
",1.251,1.463,"1.304
",1.224,1.394,"1.253
",1.179,1.329,"1.206
",1.149,1.264,"1.161
",1.119,1.208,"1.117
",1.085,1.152
200,"1.838
",1.562,2.163,"1.779
",1.515,2.08,"1.71
",1.493,1.989,"1.631
",1.413,1.879,"1.579
",1.393,1.809,"1.521
",1.356,1.704,"1.467
",1.325,1.634,"1.416
",1.282,1.561,"1.363
",1.253,1.488,"1.314
",1.215,1.423,"1.271
",1.192,1.362,"1.225
",1.154,1.302,"1.184
",1.128,1.241,"1.144
",1.103,1.19,"1.106
",1.073,1.139
150,"1.754
",1.492,2.069,"1.703
",1.452,1.992,"1.643
",1.433,1.914,"1.572
",1.362,1.807,"1.526
",1.346,1.75,"1.474
",1.313,1.652,"1.426
",1.29,1.591,"1.38
",1.253,1.52,"1.332
",1.226,1.455,"1.288
",1.192,1.397,"1.249
",1.172,1.339,"1.207
",1.138,1.283,"1.17
",1.115,1.226,"1.133
",1.094,1.179,"1.098
",1.066,1.132
135,"1.726
",1.466,2.036,"1.677
",1.43,1.965,"1.62
",1.413,1.889,"1.551
",1.345,1.782,"1.507
",1.33,1.732,"1.457
",1.299,1.634,"1.412
",1.278,1.576,"1.367
",1.243,1.507,"1.321
",1.217,1.443,"1.279
",1.184,1.387,"1.241
",1.165,1.331,"1.201
",1.132,1.277,"1.165
",1.11,1.221,"1.129
",1.09,1.176,"1.095
",1.064,1.129
120,"1.695
",1.439,2.0,"1.649
",1.408,1.935,"1.595
",1.394,1.86,"1.529
",1.326,1.759,"1.487
",1.313,1.71,"1.44
",1.284,1.614,"1.396
",1.266,1.559,"1.354
",1.232,1.491,"1.31
",1.207,1.431,"1.269
",1.176,1.376,"1.233
",1.158,1.321,"1.194
",1.127,1.27,"1.16
",1.106,1.215,"1.125
",1.086,1.171,"1.092
",1.061,1.126
105,"1.661
",1.413,1.963,"1.619
",1.383,1.904,"1.567
",1.373,1.829,"1.505
",1.306,1.731,"1.466
",1.295,1.686,"1.421
",1.268,1.593,"1.38
",1.253,1.542,"1.339
",1.22,1.474,"1.297
",1.196,1.418,"1.258
",1.167,1.363,"1.224
",1.15,1.312,"1.187
",1.121,1.262,"1.154
",1.101,1.209,"1.121
",1.082,1.167,"1.089
",1.058,1.122
90,"1.624
",1.382,1.921,"1.585
",1.356,1.86,"1.537
",1.347,1.794,"1.478
",1.284,1.7,"1.442
",1.276,1.66,"1.399
",1.251,1.568,"1.361
",1.238,1.518,"1.323
",1.206,1.457,"1.283
",1.185,1.402,"1.246
",1.157,1.35,"1.214
",1.141,1.3,"1.179
",1.113,1.252,"1.147
",1.094,1.202,"1.115
",1.078,1.161,"1.085
",1.055,1.119
