,25-29,25-29_LB,25-20_UB,30-34,30-34_LB,30-34_UB,35-39,35-39_LB,35-39_UB,40-44,40-44_LB,40-44_UB,45-49,45-49_LB,45-49_UB,50-54,50-54_LB,50-54_UB,55-59,55-59_LB,55-59_UB,60-64,60-64_LB,60-64_UB,65-69,65-69_LB,65-69_UB,70-74,70-74_LB,70-74_UB,75-79,75-79_LB,75-79_UB,80-84,80-84_LB,80-84_UB,85-89,85-89_LB,85-89_UB,90-94,90-94_LB,90-94_UB,95+,95+_LB,95+_UB
600,3.612,2.651,4.682,3.135,2.521,4.377,3.237,2.334,4.015,2.826,2.223,3.768,2.794,2.179,3.6,2.175,2.012,3.354,2.399,1.913,3.131,2.55,1.804,2.969,1.987,1.695,2.809,2.014,1.603,2.623,2.139,1.507,2.462,1.884,1.419,2.338,1.419,1.354,2.112,1.845,1.283,1.939,1.54,1.209,1.71
500,3.612,2.645,4.53,3.091,2.517,4.221,3.237,2.33,3.886,2.81,2.221,3.658,2.726,2.169,3.405,2.175,2.007,3.193,2.399,1.911,2.978,2.488,1.795,2.817,1.952,1.695,2.642,2.014,1.603,2.473,2.059,1.506,2.301,1.816,1.419,2.177,1.419,1.352,1.984,1.733,1.283,1.819,1.477,1.209,1.617
400,3.612,2.633,4.427,3.047,2.517,4.083,3.237,2.33,3.776,2.795,2.215,3.523,2.657,2.16,3.246,2.175,2.006,3.045,2.399,1.909,2.833,2.425,1.789,2.66,1.917,1.694,2.494,2.014,1.6,2.295,1.979,1.505,2.15,1.748,1.419,2.022,1.419,1.352,1.85,1.622,1.279,1.708,1.414,1.208,1.523
300,3.612,2.612,4.325,3.004,2.517,4.018,3.237,2.324,3.672,2.78,2.208,3.419,2.589,2.16,3.164,2.175,2.005,2.911,2.399,1.899,2.676,2.363,1.789,2.499,1.882,1.688,2.328,2.014,1.597,2.135,1.899,1.502,2.001,1.681,1.418,1.873,1.419,1.352,1.705,1.51,1.277,1.591,1.351,1.207,1.434
200,3.612,2.602,4.252,2.96,2.514,3.953,3.237,2.29,3.588,2.765,2.203,3.329,2.52,2.137,3.071,2.175,1.992,2.791,2.399,1.879,2.565,2.3,1.774,2.38,1.846,1.671,2.205,2.014,1.585,2.041,1.819,1.493,1.877,1.613,1.414,1.731,1.419,1.348,1.588,1.399,1.271,1.476,1.288,1.201,1.349
150,3.612,2.6,4.216,2.938,2.499,3.911,3.237,2.283,3.577,2.757,2.193,3.288,2.486,2.123,3.047,2.175,1.985,2.756,2.399,1.873,2.549,2.269,1.765,2.339,1.829,1.664,2.175,2.014,1.581,2.004,1.779,1.486,1.834,1.58,1.41,1.684,1.419,1.341,1.545,1.343,1.265,1.433,1.256,1.195,1.312
130,3.612,2.585,4.216,2.929,2.495,3.904,3.237,2.283,3.567,2.754,2.19,3.275,2.472,2.116,3.032,2.175,1.985,2.755,2.399,1.866,2.538,2.256,1.755,2.33,1.822,1.661,2.161,2.014,1.575,1.988,1.763,1.486,1.821,1.566,1.406,1.675,1.419,1.334,1.531,1.321,1.26,1.416,1.244,1.192,1.299
110,3.612,2.575,4.206,2.92,2.495,3.904,3.237,2.276,3.564,2.751,2.184,3.27,2.459,2.106,3.014,2.175,1.978,2.755,2.399,1.855,2.535,2.244,1.747,2.329,1.815,1.658,2.153,2.014,1.566,1.982,1.747,1.485,1.808,1.553,1.4,1.666,1.419,1.327,1.523,1.299,1.254,1.408,1.231,1.189,1.289
90,3.598,2.539,4.141,2.867,2.469,3.842,3.237,2.273,3.525,2.748,2.166,3.228,2.445,2.08,2.976,2.16,1.966,2.724,2.381,1.847,2.5,2.231,1.725,2.307,1.808,1.649,2.132,2.003,1.553,1.97,1.731,1.478,1.795,1.539,1.39,1.663,1.419,1.316,1.515,1.276,1.245,1.398,1.219,1.18,1.281
70,3.324,2.396,3.827,2.596,2.309,3.501,3.158,2.148,3.258,2.629,2.049,3.004,2.35,1.968,2.758,2.056,1.868,2.512,2.195,1.767,2.329,2.167,1.675,2.168,1.714,1.595,2.015,1.888,1.517,1.879,1.682,1.44,1.723,1.49,1.364,1.607,1.368,1.295,1.482,1.254,1.233,1.375,1.206,1.167,1.268
50,2.804,2.086,3.273,2.235,1.998,3.006,2.731,1.899,2.764,2.327,1.816,2.593,2.049,1.748,2.383,1.854,1.687,2.222,1.925,1.605,2.056,1.939,1.543,1.939,1.528,1.479,1.826,1.692,1.418,1.707,1.567,1.352,1.584,1.381,1.297,1.496,1.274,1.247,1.394,1.216,1.192,1.308,1.173,1.142,1.221
30,2.176,1.671,2.531,1.805,1.62,2.393,2.079,1.575,2.214,1.918,1.51,2.061,1.641,1.477,1.944,1.555,1.439,1.85,1.596,1.39,1.73,1.615,1.345,1.643,1.334,1.31,1.58,1.468,1.269,1.495,1.385,1.22,1.419,1.235,1.19,1.351,1.169,1.159,1.284,1.167,1.124,1.221,1.125,1.089,1.157
25,2.013,1.565,2.335,1.685,1.518,2.226,1.9,1.482,2.04,1.808,1.428,1.927,1.534,1.4,1.824,1.469,1.366,1.749,1.505,1.328,1.644,1.528,1.29,1.569,1.283,1.259,1.508,1.408,1.225,1.432,1.33,1.184,1.373,1.196,1.159,1.314,1.141,1.133,1.251,1.15,1.103,1.196,1.111,1.075,1.139
20,1.843,1.454,2.132,1.56,1.416,2.029,1.72,1.388,1.886,1.697,1.342,1.789,1.427,1.322,1.703,1.379,1.293,1.64,1.411,1.263,1.547,1.441,1.232,1.49,1.23,1.208,1.437,1.343,1.181,1.368,1.271,1.147,1.317,1.157,1.128,1.271,1.113,1.108,1.213,1.129,1.083,1.171,1.095,1.06,1.122
