year,PM_lower,PM_mean,PM_upper,ISO3,Country,reporting_region_name,,,REGION,Super_region_name,SUPER-REGION,O3_mean,O3_lower,O3_upper
1990,20.01,20.48,20.98,AFG,Afghanistan,"Asia, South",,,4,South Asia,3,61.5828,57.83015,65.3752
1995,19.3,19.74,20.21,AFG,Afghanistan,"Asia, South",,,4,South Asia,3,61.89984,58.2055,65.52612
2000,19.31,19.75,20.22,AFG,Afghanistan,"Asia, South",,,4,South Asia,3,62.26085,58.41865,65.81267
2005,20.05,20.51,21.01,AFG,Afghanistan,"Asia, South",,,4,South Asia,3,62.48918,58.85272,66.34368
2010,20.84,21.35,21.89,AFG,Afghanistan,"Asia, South",,,4,South Asia,3,62.79026,59.19715,66.27534
2013,21.16,21.69,22.25,AFG,Afghanistan,"Asia, South",,,4,South Asia,3,63.21207,59.56892,66.93906
1990,11.7,11.94,12.19,AGO,Angola,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,79.97759,75.31512,84.81918
1995,11.68,11.93,12.17,AGO,Angola,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,80.44737,75.80634,85.20472
2000,11.95,12.19,12.44,AGO,Angola,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,81.42152,76.53708,86.35728
2005,12.26,12.52,12.77,AGO,Angola,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,83.03085,77.88465,88.3444
2010,13.08,13.35,13.62,AGO,Angola,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,85.26985,80.18439,90.02421
2013,13.74,14.02,14.29,AGO,Angola,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,86.3892,81.06828,91.42454
1990,23.56,24.19,24.86,ALB,Albania,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,71.60323,67.09092,76.05376
1995,20.76,21.26,21.78,ALB,Albania,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,70.48166,66.18862,74.76209
2000,18.86,19.28,19.71,ALB,Albania,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,69.69012,65.2061,74.09796
2005,17.58,17.96,18.32,ALB,Albania,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,69.014,64.86269,72.90318
2010,18.21,18.6,18.99,ALB,Albania,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,68.27622,64.37085,72.43164
2013,15.61,15.94,16.25,ALB,Albania,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,68.02132,64.08477,72.10908
1990,12.65,12.91,13.17,AND,Andorra,"Europe, Western",,,10,High income,1,64.73582,60.62405,68.7142
1995,11.94,12.18,12.43,AND,Andorra,"Europe, Western",,,10,High income,1,65.01505,61.21314,68.52771
2000,11.24,11.47,11.72,AND,Andorra,"Europe, Western",,,10,High income,1,64.79328,60.78066,68.728
2005,14.08,14.36,14.64,AND,Andorra,"Europe, Western",,,10,High income,1,63.2783,59.39393,67.25082
2010,9.78,10,10.24,AND,Andorra,"Europe, Western",,,10,High income,1,60.92874,57.29395,64.22002
2013,9.29,9.51,9.75,AND,Andorra,"Europe, Western",,,10,High income,1,60.11014,56.58961,63.61092
1990,34.33,35.66,37.16,ARE,United Arab Emirates,North Africa / Middle East,,,15,North Africa / Middle East,2,88.39802,83.1775,93.21843
1995,34.35,35.69,37.17,ARE,United Arab Emirates,North Africa / Middle East,,,15,North Africa / Middle East,2,92.93119,87.49383,98.46947
2000,34.57,35.92,37.42,ARE,United Arab Emirates,North Africa / Middle East,,,15,North Africa / Middle East,2,96.28265,90.4608,102.2274
2005,36.4,37.87,39.51,ARE,United Arab Emirates,North Africa / Middle East,,,15,North Africa / Middle East,2,98.6715,93.08783,104.4955
2010,39.23,40.89,42.74,ARE,United Arab Emirates,North Africa / Middle East,,,15,North Africa / Middle East,2,100.5161,94.53003,106.6515
2013,39.27,40.93,42.79,ARE,United Arab Emirates,North Africa / Middle East,,,15,North Africa / Middle East,2,102.3286,96.53142,108.5558
1990,8.43,8.64,8.86,ARG,Argentina,"Latin America, Southern",,,13,High income,1,35.79805,33.82224,37.91185
1995,8.86,9.07,9.29,ARG,Argentina,"Latin America, Southern",,,13,High income,1,36.83364,34.44919,39.19687
2000,8.86,9.07,9.29,ARG,Argentina,"Latin America, Southern",,,13,High income,1,37.64619,35.49956,39.79258
2005,9.14,9.35,9.57,ARG,Argentina,"Latin America, Southern",,,13,High income,1,38.45637,36.19958,40.73725
2010,9.3,9.52,9.74,ARG,Argentina,"Latin America, Southern",,,13,High income,1,39.15952,36.77629,41.50003
2013,8.75,8.96,9.18,ARG,Argentina,"Latin America, Southern",,,13,High income,1,39.6441,37.30015,41.96208
